1	Gonzaga 1	WCC	28-4	+30.95	120.7	3	89.7	10	72.5	5	-.039	271	+4.24	93	104.6	101	100.3	89	-2.88	248
2	Houston 5	Amer	32-6	+27.70	116.8	10	89.1	8	63.6	338	-.012	203	+5.89	75	105.5	81	99.6	62	+0.18	154
3	Kansas 1	B12	34-6	+27.49	119.2	6	91.7	17	69.3	65	+.041	88	+12.60	1	108.0	20	95.4	1	+4.13	49
4	Baylor 1	B12	27-7	+27.04	118.0	8	91.0	13	67.4	163	+.004	163	+10.96	13	107.4	36	96.5	7	-1.89	216
5	Arizona 1	P12	33-4	+25.96	118.6	7	92.6	21	72.2	9	+.048	75	+6.45	70	105.9	70	99.5	58	-0.78	180
6	Kentucky 2	SEC	26-8	+25.72	120.0	5	94.3	36	67.5	150	-.043	279	+8.88	30	106.5	58	97.6	14	-2.72	242
7	Texas Tech 3	B12	27-10	+25.64	110.7	42	85.0	1	66.5	218	-.031	247	+10.98	12	107.8	26	96.8	9	-8.24	347
8	Duke 2	ACC	32-7	+25.15	121.1	1	95.9	49	67.3	172	-.010	199	+8.22	42	107.8	24	99.6	63	-4.58	288
9	Tennessee 3	SEC	27-8	+25.10	111.5	35	86.4	3	67.4	157	+.029	117	+11.39	10	108.5	9	97.1	13	+4.85	42
10	Villanova 2	BE	30-8	+24.56	117.5	9	92.9	23	62.3	347	+.060	58	+11.46	9	109.1	6	97.6	15	+8.65	14
11	UCLA 4	P12	27-8	+24.26	115.9	12	91.7	16	65.2	277	-.029	245	+8.50	39	107.2	43	98.7	38	+3.67	64
12	Auburn 2	SEC	28-6	+23.20	112.7	25	89.5	9	70.1	42	-.021	226	+8.35	41	106.9	52	98.6	35	+3.70	62
13	Iowa 5	B10	26-10	+22.72	120.5	4	97.8	80	69.7	53	-.061	309	+7.31	61	107.1	45	99.8	69	-6.82	326
14	Purdue 3	B10	29-8	+22.36	121.0	2	98.6	93	66.1	237	+.022	133	+8.81	33	108.0	19	99.2	49	-3.54	261
15	Texas 6	B12	22-12	+20.88	112.5	26	91.6	14	63.8	336	-.043	281	+10.68	15	107.7	27	97.0	12	-8.15	343
16	North Carolina 8	ACC	29-10	+20.13	114.4	18	94.3	35	70.2	39	+.072	46	+9.90	19	109.0	8	99.1	47	+3.79	61
17	Saint Mary's 5	WCC	26-8	+19.53	110.1	51	90.6	12	63.6	339	+.039	96	+6.89	65	106.8	54	99.9	71	+3.31	72
18	Arkansas 4	SEC	28-9	+19.46	109.9	53	90.4	11	70.7	28	+.038	99	+9.08	27	107.5	33	98.4	28	-2.78	245
19	Virginia Tech 11	ACC	23-13	+18.86	115.0	17	96.1	54	63.3	340	-.062	310	+7.88	50	107.4	37	99.5	59	-0.53	174
20	Illinois 4	B10	23-10	+18.75	112.0	30	93.3	29	67.2	179	+.033	110	+10.44	17	109.0	7	98.6	34	+1.39	123
21	LSU 6	SEC	22-12	+18.65	107.3	89	88.7	6	68.6	101	-.052	298	+9.10	26	107.2	44	98.1	21	-1.21	191
22	Connecticut 5	BE	23-10	+18.55	113.8	22	95.3	43	64.8	300	-.038	269	+7.39	59	105.7	77	98.3	24	-3.58	262
23	San Francisco 10	WCC	24-10	+17.38	110.5	44	93.1	26	68.9	82	-.042	277	+5.18	80	105.5	82	100.3	87	+2.23	97
24	Memphis 9	Amer	22-11	+17.23	111.2	38	94.0	33	69.9	49	-.028	242	+7.43	57	106.4	59	99.0	46	+4.46	45
25	San Diego St. 8	MWC	23-9	+17.07	103.4	167	86.3	2	65.4	268	-.003	182	+5.95	74	105.5	78	99.6	60	+2.56	93
26	TCU 9	B12	21-13	+17.02	108.7	74	91.7	15	65.9	246	+.014	144	+11.74	6	108.0	21	96.2	5	-5.00	298
27	Michigan 11	B10	19-15	+16.61	113.9	21	97.2	74	66.7	203	-.019	217	+12.15	4	109.8	1	97.7	18	+6.27	27
28	Alabama 6	SEC	19-14	+16.57	115.2	16	98.6	92	71.9	11	-.022	229	+12.58	2	109.4	2	96.9	10	+10.15	10
29	Loyola Chicago 10	MVC	25-8	+16.52	108.6	75	92.1	18	64.7	308	+.012	149	+3.12	105	104.7	98	101.6	113	+3.15	79
31	Ohio St. 7	B10	20-12	+16.24	115.5	13	99.3	111	65.0	289	-.017	213	+9.83	20	108.3	13	98.4	30	+2.31	96
32	Providence 4	BE	27-6	+15.89	111.5	36	95.6	44	65.2	276	+.164	1	+7.74	53	106.7	55	99.0	45	+0.26	152
36	Murray St. 7	OVC	31-3	+15.42	111.5	34	96.1	52	66.1	241	+.074	43	-3.09	218	101.1	227	104.2	212	+4.29	47
